galaxy,radius_kpc,delta_v2,delta_sign,vobs,vbar,W,r_norm,radial_bin
D631-7,6.74,2906.4560000000006,positive,57.7,20.562927807099843,6.8737518742579855,0.9374130737134909,edge
D631-7,7.19,2889.2626999999998,positive,57.3,19.850120906432785,7.332645986712088,1.0,edge
DDO064,0.1,34.445600000000006,positive,6.29,2.262410219213129,6.729627820650585,0.03355704697986577,core
DDO064,0.3,147.39140000000003,positive,13.9,6.768943787622999,3.216846433544457,0.10067114093959731,core
DDO064,0.49,149.4415,positive,15.6,9.691155761827378,1.5911827808152814,0.16442953020134227,core
DDO064,0.69,138.59349999999995,positive,18.4,14.140951170271396,0.6930835915015764,0.2315436241610738,inner_disk
DDO064,0.89,272.9275,positive,22.5,15.274897708331798,1.1697435952383504,0.2986577181208054,inner_disk
DDO064,1.09,408.261,positive,26.5,17.146107429967888,1.3886948151121303,0.36577181208053694,inner_disk
DDO064,1.29,859.1102999999997,positive,35.3,19.67179961264348,2.2200397075092035,0.4328859060402685,mid_disk
DDO064,1.48,1118.39,positive,40.5,22.84425529536912,2.143084352125091,0.4966442953020134,mid_disk
DDO064,1.68,1323.6780000000003,positive,44.2,25.09904380648793,2.1012029297005217,0.5637583892617449,mid_disk
DDO064,1.88,1432.0927999999997,positive,46.3,26.6757792763398,2.012504827169078,0.6308724832214765,outer_disk
DDO064,2.08,1402.4204,positive,46.4,27.395977806970134,1.8685495075809455,0.697986577181208,outer_disk
DDO064,2.27,1384.5481999999995,positive,46.3,27.55252801468497,1.823833439286309,0.761744966442953,outer_disk
DDO064,2.37,1382.6798,positive,46.4,27.75392224533318,1.7950348457613217,0.7953020134228188,outer_disk
DDO064,2.98,1411.9169999999997,positive,46.9,28.065868951450625,1.7924711784921274,1.0,edge
DDO154,0.49,24.916300000000007,positive,13.8,12.865601423952167,0.1505301053565139,0.08277027027027027,core
DDO154,0.99,199.20590000000004,positive,21.6,16.350966332299752,0.7451013468654494,0.16722972972972974,core
DDO154,1.48,549.3506,positive,28.9,16.907377088123397,1.9217510426454403,0.25,inner_disk
