galaxy,radial_bin,n_points,mean_W,mean_abs_W,max_abs_W,frac_W_neg,frac_W_gt_1
DDO161,edge,6,3.050222438402665,3.050222438402665,3.560361187461394,0.0,1.0
DDO168,core,2,0.19784690891632256,0.19784690891632256,0.2717145255233106,0.0,0.0
DDO168,inner_disk,2,0.6618353923396374,0.6618353923396374,0.9743864921372734,0.0,0.0
DDO168,mid_disk,2,1.9503172333026484,1.9503172333026484,2.3839696870039044,0.0,1.0
DDO168,outer_disk,1,2.4321049309840808,2.4321049309840808,2.4321049309840808,0.0,1.0
DDO168,edge,3,2.622373800894654,2.622373800894654,2.727328600796577,0.0,1.0
DDO170,core,1,0.8888603054759936,0.8888603054759936,0.8888603054759936,0.0,0.0
DDO170,inner_disk,2,2.13392654369059,2.13392654369059,2.3549318929046095,0.0,1.0
DDO170,mid_disk,1,2.1766825156888876,2.1766825156888876,2.1766825156888876,0.0,1.0
DDO170,outer_disk,2,2.2304366110377227,2.2304366110377227,2.2689494595621738,0.0,1.0
DDO170,edge,2,3.1360173760251513,3.1360173760251513,3.576829260646478,0.0,1.0
ESO079-G014,core,4,-0.01104143285066373,0.2205952861702283,0.3075415433649838,0.5,0.0
ESO079-G014,inner_disk,4,0.4414896334406657,0.45375563326105967,0.8621423646525541,0.25,0.0
ESO079-G014,mid_disk,2,0.8107842896890209,0.8107842896890209,0.8316262649409676,0.0,0.0
ESO079-G014,outer_disk,2,0.5452605815815488,0.5452605815815488,0.5486772204549455,0.0,0.0
ESO079-G014,edge,3,0.7339462330681529,0.7339462330681529,0.855846464024992,0.0,0.0
ESO116-G012,core,4,0.241789571563008,0.241789571563008,0.4542044288965913,0.0,0.0
ESO116-G012,inner_disk,3,0.7023916132629573,0.7023916132629573,0.7962199945270289,0.0,0.0
ESO116-G012,mid_disk,2,1.206219872785522,1.206219872785522,1.287473816205328,0.0,1.0
ESO116-G012,outer_disk,3,1.9379413476745049,1.9379413476745049,2.113043679217788,0.0,1.0
ESO116-G012,edge,3,2.46371337211515,2.46371337211515,2.817659059185645,0.0,1.0
ESO444-G084,core,2,2.6272133889972933,2.6272133889972933,2.715872096506821,0.0,1.0
ESO444-G084,inner_disk,1,3.74019328480225,3.74019328480225,3.74019328480225,0.0,1.0
ESO444-G084,mid_disk,2,4.574110577584069,4.574110577584069,5.067749927174374,0.0,1.0
ESO444-G084,outer_disk,1,8.909111950086235,8.909111950086235,8.909111950086235,0.0,1.0
ESO444-G084,edge,1,12.962361585348098,12.962361585348098,12.962361585348098,0.0,1.0
ESO563-G021,core,10,-0.13813758349710176,0.4477763357996841,0.9159453689371441,0.5,0.0
ESO563-G021,inner_disk,5,0.23770752903067308,0.23770752903067308,0.2703741844990889,0.0,0.0
ESO563-G021,mid_disk,5,0.35163491365014676,0.3516349136501468,0.4260186103056194,0.0,0.0
ESO563-G021,outer_disk,5,0.7032166725651294,0.7032166725651294,0.9472736401030412,0.0,0.0
ESO563-G021,edge,5,1.3605754979332398,1.3605754979332398,1.5089981415051965,0.0,1.0
F561-1,core,1,-0.35251813873915344,0.35251813873915344,0.35251813873915344,1.0,0.0
F561-1,inner_disk,1,0.08161432164554788,0.08161432164554788,0.08161432164554788,0.0,0.0
F561-1,mid_disk,1,0.1659346476241655,0.1659346476241655,0.1659346476241655,0.0,0.0
F561-1,outer_disk,1,0.01906078635452771,0.01906078635452771,0.01906078635452771,0.0,0.0
F561-1,edge,2,-0.19582330658233332,0.19582330658233332,0.23036210818051733,1.0,0.0
F563-V1,core,1,-0.0002721481374516262,0.0002721481374516262,0.0002721481374516262,1.0,0.0
F563-V1,inner_disk,1,0.24825673758827618,0.24825673758827618,0.24825673758827618,0.0,0.0
F563-V1,mid_disk,1,0.10805830784990694,0.10805830784990694,0.10805830784990694,0.0,0.0
F563-V1,outer_disk,1,0.017117732034913295,0.017117732034913295,0.017117732034913295,0.0,0.0
F563-V1,edge,2,-0.15351741854362796,0.15351741854362796,0.21640621172266977,1.0,0.0
F563-V2,core,4,3.2388806826850907,3.2388806826850907,4.156763754889503,0.0,1.0
F563-V2,inner_disk,1,4.656087080454222,4.656087080454222,4.656087080454222,0.0,1.0
F563-V2,mid_disk,1,4.634198492344669,4.634198492344669,4.634198492344669,0.0,1.0
F563-V2,outer_disk,1,3.684104070237891,3.684104070237891,3.684104070237891,0.0,1.0
F563-V2,edge,3,3.526548987640878,3.526548987640878,3.6520123377888827,0.0,1.0
F565-V2,core,1,1.8986765158510306,1.8986765158510306,1.8986765158510306,0.0,1.0
F565-V2,inner_disk,1,2.9480711556632837,2.9480711556632837,2.9480711556632837,0.0,1.0
F565-V2,mid_disk,2,5.334412790757895,5.334412790757895,5.970767270931056,0.0,1.0
F565-V2,outer_disk,1,5.147176531753271,5.147176531753271,5.147176531753271,0.0,1.0
F565-V2,edge,2,5.170710320648382,5.170710320648382,5.371108996309143,0.0,1.0
F567-2,core,0,,,,,
F567-2,inner_disk,2,0.459105384625152,0.459105384625152,0.8370548209352989,0.0,0.0
F567-2,mid_disk,1,1.0904544867418298,1.0904544867418298,1.0904544867418298,0.0,1.0
F567-2,outer_disk,1,0.662645414371041,0.662645414371041,0.662645414371041,0.0,0.0
F567-2,edge,1,0.6229807073144863,0.6229807073144863,0.6229807073144863,0.0,0.0
F568-1,core,3,1.529328884794409,1.529328884794409,2.6385772775745915,0.0,0.6666666666666666
F568-1,inner_disk,3,5.093721947121831,5.093721947121831,5.822090730120251,0.0,1.0
F568-1,mid_disk,2,4.923711782666187,4.923711782666187,5.672920203739283,0.0,1.0
F568-1,outer_disk,3,3.585007153462314,3.585007153462314,3.7517941049882815,0.0,1.0
F568-1,edge,1,3.2506816974908905,3.2506816974908905,3.2506816974908905,0.0,1.0
F568-3,core,6,0.6116913331060782,0.668377395308533,1.6803407808353874,0.16666666666666666,0.3333333333333333
F568-3,inner_disk,6,1.9474826888217045,1.9474826888217043,2.184309304833701,0.0,1.0
F568-3,mid_disk,2,1.6753462301816295,1.6753462301816295,1.7093705182208025,0.0,1.0
F568-3,outer_disk,2,1.8336368299397223,1.8336368299397223,1.9825162392004594,0.0,1.0
F568-3,edge,2,2.581241310982202,2.581241310982202,2.6743496382003142,0.0,1.0
F568-V1,core,4,2.4333405486105217,2.4333405486105217,4.279580964026245,0.0,1.0
F568-V1,inner_disk,5,4.392831580152503,4.392831580152503,4.788043988580611,0.0,1.0
F568-V1,mid_disk,4,4.003182165206448,4.003182165206448,4.353830817101334,0.0,1.0
F568-V1,outer_disk,1,3.5058272990393613,3.5058272990393613,3.5058272990393613,0.0,1.0
F568-V1,edge,1,4.81354737742586,4.81354737742586,4.81354737742586,0.0,1.0
F571-8,core,4,-0.7613496355788082,0.7613496355788081,0.8951853496713122,1.0,0.0
F571-8,inner_disk,5,0.2578262690489909,0.5242476447277666,1.002822378009534,0.4,0.2
F571-8,mid_disk,2,2.1919606863488883,2.1919606863488883,2.7869021143879653,0.0,1.0
F571-8,outer_disk,1,3.59444893054356,3.59444893054356,3.59444893054356,0.0,1.0
F571-8,edge,1,5.480560365954142,5.480560365954142,5.480560365954142,0.0,1.0
F571-V1,core,1,0.6279423587581152,0.6279423587581152,0.6279423587581152,0.0,0.0
F571-V1,inner_disk,1,1.221860740061728,1.221860740061728,1.221860740061728,0.0,1.0
F571-V1,mid_disk,2,2.3576699855550975,2.3576699855550975,2.445252617380902,0.0,1.0
F571-V1,outer_disk,1,2.5967546690697687,2.5967546690697687,2.5967546690697687,0.0,1.0
F571-V1,edge,2,3.2711355934066244,3.2711355934066244,3.583008775623783,0.0,1.0
F574-1,core,3,0.7046766834500033,0.7046766834500032,1.1734694666086753,0.0,0.3333333333333333
F574-1,inner_disk,2,2.2718903676796565,2.2718903676796565,2.447634244291486,0.0,1.0
F574-1,mid_disk,3,2.2822761106017517,2.2822761106017517,2.362305030787942,0.0,1.0
F574-1,outer_disk,3,2.267963914862287,2.267963914862287,2.338346299886034,0.0,1.0
F574-1,edge,3,1.9863921104317168,1.9863921104317168,2.0909130460954017,0.0,1.0
F574-2,core,0,,,,,
F574-2,inner_disk,2,-0.5236142915893927,0.5236142915893927,0.7068911053192543,1.0,0.0
F574-2,mid_disk,1,-0.3568488451863709,0.3568488451863709,0.3568488451863709,1.0,0.0
F574-2,outer_disk,1,-0.2574921533936418,0.2574921533936418,0.2574921533936418,1.0,0.0
F574-2,edge,1,-0.24267213103968382,0.24267213103968382,0.24267213103968382,1.0,0.0
F579-V1,core,4,3.1231304487398215,3.123130448739821,4.316087579111056,0.0,1.0
F579-V1,inner_disk,3,1.6934383227402232,1.6934383227402232,2.041695076643351,0.0,1.0
