cluster,radial_bin,n_points,mean_W,mean_abs_W,frac_W_neg,frac_W_gt_1,max_abs_W
0,core,596,-0.19798798996563832,0.3398375893378727,0.7802013422818792,0.018456375838926176,3.079384623318689
0,inner_disk,372,0.052261581014780636,0.3268817327104624,0.5053763440860215,0.01881720430107527,1.3013102180003686
0,mid_disk,293,0.3163780547120839,0.4599409442320422,0.32081911262798635,0.11262798634812286,1.7444969928076697
0,outer_disk,264,0.6451020961559897,0.7331666676574519,0.17803030303030304,0.24621212121212122,2.8804065967861847
0,edge,293,0.9267945156733362,0.9830032512886838,0.13310580204778158,0.41638225255972694,3.9958667797746794
1,core,29,3.8849716729512505,4.081655606494803,0.20689655172413793,0.6551724137931034,13.775802733135087
1,inner_disk,32,4.736998411571987,4.736998411571987,0.0,0.90625,16.008098460226968
1,mid_disk,31,4.931752946388199,4.9317529463882,0.0,1.0,8.776453486657507
1,outer_disk,29,5.834876693672514,5.8348766936725145,0.0,1.0,9.914036966442906
1,edge,34,6.714720152697742,6.714720152697742,0.0,1.0,12.962361585348098
2,core,353,0.7505193774537753,0.9245799343180383,0.3342776203966006,0.3031161473087819,9.085230726189465
2,inner_disk,245,1.7108326296484209,1.7222414504210175,0.024489795918367346,0.6326530612244898,5.822090730120251
2,mid_disk,214,2.1148891865982877,2.1148891865982877,0.0,0.9112149532710281,5.970767270931056
2,outer_disk,208,2.592278396692596,2.5922783966925964,0.0,1.0,6.509222998875706
2,edge,243,3.1547302773426407,3.1547302773426407,0.0,1.0,7.449970849560411
