galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1,cluster
CamB,0.5411848159546525,0.4162951357273362,0.7824082631654723,0.0,0
D512-2,1.5382038331830998,0.3346653976949438,1.89375451809339,1.0,2
D564-8,2.565799389255496,1.6520422218374051,4.782534156272754,0.8333333333333334,2
D631-7,3.0144556625141883,2.779723561382822,7.332645986712088,0.625,1
DDO064,2.1818499874633552,1.4287699465307846,6.729627820650585,0.9285714285714286,2
DDO154,3.82526784907211,2.077113551386011,6.296075318348423,0.8333333333333334,2
DDO161,1.3643033982269264,1.132916665213881,3.560361187461394,0.5806451612903226,2
DDO168,1.591922540278526,1.0747516614714947,2.727328600796577,0.6,2
DDO170,2.2582879853339763,0.7506735801028686,3.576829260646478,0.875,2
ESO079-G014,0.5074221412980501,0.3808977916329132,0.8621423646525541,0.0,0
ESO116-G012,1.2461158020653942,0.8951192035733079,2.817659059185645,0.5333333333333333,2
ESO444-G084,5.716330679057044,3.8471123428749454,12.962361585348098,1.0,1
ESO563-G021,0.5914478807964262,0.6080427892491126,1.5089981415051965,0.1666666666666666,0
F561-1,0.1684624179213435,0.1999485699796218,0.3525181387391534,0.0,0
F563-V1,0.1134566271163006,0.1599484433240115,0.2482567375882761,0.0,0
F563-V2,3.650955933669978,0.6908207450468631,4.656087080454222,1.0,2
F565-V2,4.429167203725734,1.4572514574602735,5.970767270931056,1.0,2
F567-2,0.6588582755355322,0.371843656500306,1.0904544867418298,0.2,0
F568-1,3.6435232682465775,1.6058710244288097,5.822090730120251,0.9166666666666666,2
F568-3,1.5486449581660295,0.8126278489476473,2.6743496382003142,0.7777777777777778,2
F568-V1,3.7353082288330417,1.1257844086267517,4.81354737742586,1.0,2
F571-8,1.4711974950115034,1.9758693986543547,5.480560365954142,0.3846153846153846,2
F571-V1,2.2434527036875798,1.0104926777259464,3.583008775623783,0.8571428571428571,2
F574-1,1.876264799528328,0.6717108987343908,2.447634244291486,0.8571428571428571,2
