radial_bin,n_points,mean_W,mean_abs_W,frac_W_pos,frac_W_neg,frac_W_gt_1,max_abs_W
core,978,0.2654362747824627,0.6618486018895593,0.39775051124744376,0.6022494887525562,0.14008179959100203,13.775802733135087
inner_disk,649,0.9093671056574192,1.0710833730227194,0.7010785824345146,0.29892141756548535,0.2942989214175655,16.008098460226968
mid_disk,538,1.2977126343879337,1.3758983716172046,0.8252788104089219,0.17472118959107807,0.48141263940520446,8.776453486657507
outer_disk,501,1.7539167345583715,1.800322017744771,0.906187624750499,0.09381237524950099,0.6027944111776448,9.914036966442906
edge,570,2.221843395926794,2.25073665826942,0.9315789473684211,0.06842105263157895,0.7,12.962361585348098
