galaxy,mean_abs_W,std_W,max_abs_W,frac_W_gt_1
NGC6789,2.8941298426543636,1.610052057349504,5.104953061864493,1.0
NGC6946,0.25914406760371894,0.28920329545665313,0.5741071598892309,0.0
NGC7331,0.3533789529281879,0.3948237493190767,0.6720113035567931,0.0
NGC7793,0.2553212707705856,0.35103996782924607,0.8883804913738513,0.0
NGC7814,0.638202157471642,0.6387961120486753,1.598541527997118,0.2777777777777778
PGC51017,0.5386451241951027,0.9049225933032962,1.958640285662791,0.16666666666666666
UGC00128,3.5947354422535103,1.4292017026303154,6.359475578232442,0.9545454545454546
UGC00191,1.388442383624717,0.5749488132224309,2.2592323296566565,0.7777777777777778
UGC00634,2.8677799375416413,1.4091480758463346,4.4632471967071075,1.0
UGC00731,6.365171573033734,3.723902910032732,13.179089985176171,1.0
UGC00891,2.49027634326605,1.6700080575491305,4.683357263013311,0.8
UGC01230,2.1071400949007377,0.947143276849052,3.1728417894313,0.8181818181818182
UGC01281,1.9877683109725826,1.2225961540973385,3.5939967337725522,0.72
UGC02023,0.3940250949143204,0.541394275057891,1.0155617475360605,0.2
UGC02259,2.8751439370915994,0.6218348306383594,4.071409936754215,1.0
UGC02455,0.6978601355820078,0.21134355469398303,0.871815712762359,0.0
UGC02487,1.2073764365224386,0.8149514314512165,2.791412265390489,0.5882352941176471
UGC02885,0.687615761674114,0.582482059562333,1.637164899369638,0.3157894736842105
UGC02916,0.2842589822807646,0.3626515640804003,1.173651653970156,0.023255813953488372
UGC02953,0.6129087292586035,1.0155548382580557,7.0513854656807835,0.2
UGC03205,0.354800009324644,0.517642917645843,2.3513870615520176,0.08333333333333333
UGC03546,0.4410665273004233,0.5010552535647297,1.308715092359822,0.03333333333333333
UGC03580,0.8311714741448941,1.1323380494141002,3.5515770107233804,0.1702127659574468
UGC04278,1.7650360411393988,1.0747118544990057,3.7954324704577003,0.64
UGC04305,0.27283046627077573,0.26989705105412765,0.7645750993929823,0.0
UGC04325,2.2357826662553126,0.6459532362880095,3.3551994392496995,1.0
UGC04483,1.2002669685379903,0.6256926988203777,1.9018618424997031,0.625
UGC04499,1.1425016065613194,0.6139042657399182,1.6559210536206557,0.6666666666666666
UGC05005,1.64496805002848,1.4235901672846645,3.485959647598921,0.5454545454545454
UGC05253,0.3917633069812843,0.5395706785245332,1.8199836464209043,0.1232876712328767
UGC05414,0.6516957092144051,0.411181699415639,1.1884693839462985,0.16666666666666666
UGC05716,3.423093951489795,0.8109791110445581,4.649757727513745,1.0
UGC05721,2.996490622624408,1.9609042220244435,5.661515439032366,0.7391304347826086
UGC05750,1.2449885548493524,0.8353367343289786,2.00520614487685,0.6363636363636364
UGC05764,5.909876833913578,2.3219518618961756,11.64038692945488,1.0
UGC05829,2.3016784843114007,0.5227845618267988,3.0498156594629706,1.0
UGC05918,3.3586334945310616,0.781744577595565,4.5553850479577385,1.0
UGC05986,1.4756795001817682,0.9199623777692134,2.7297917943638743,0.6666666666666666
UGC05999,1.8709767882735668,0.9413788035998832,2.761559004358783,0.8
UGC06399,1.5658853560132284,0.5697831945257097,2.3094753838749247,0.7777777777777778
UGC06446,2.9717039154509677,0.5727102786814671,3.5576959813017606,1.0
UGC06614,0.7356326861293696,0.9348053040713376,2.4123214354971134,0.3076923076923077
UGC06628,0.2397483991388008,0.16504432344867245,0.43554802920680685,0.0
UGC06667,8.748433988095176,3.9053579339054703,16.008098460226968,1.0
UGC06786,0.7050921883594179,0.9821486934467503,3.271663513367133,0.2222222222222222
UGC06787,0.7355668923846027,1.0784590203352475,3.9958667797746794,0.2112676056338028
UGC06818,1.027480444302468,1.0971399992539714,2.3653888829374385,0.5
UGC06917,1.0495100592718063,0.43290444453604254,1.5445399639979143,0.7272727272727273
UGC06923,0.5211195575152924,0.48824005927835773,0.806227746924622,0.0
UGC06930,1.0655695312208489,0.431136821378538,1.730790676279,0.7
UGC06973,0.38368204058327754,0.27631848289879934,0.7736016946976989,0.0
UGC06983,1.8286887391445057,0.6476145704641149,2.705392220491451,0.8823529411764706
UGC07089,0.5395403683576555,0.42416137905974327,1.2610535521337374,0.16666666666666666
UGC07125,0.7013973057366983,0.39480510167510885,1.2508300450469545,0.07692307692307693
UGC07151,0.6388559804206616,0.3088885777902586,0.8793770858177792,0.0
UGC07232,0.5671242050354487,0.7234589232455996,1.5691286022706266,0.25
UGC07261,1.229432626676976,0.5361841475069151,1.7922232228363029,0.5714285714285714
UGC07323,0.29312523280646763,0.2297520343089617,0.6175204420190016,0.0
UGC07399,4.032200316037198,1.493859606550152,5.9490786409838545,1.0
UGC07524,1.7561398992778854,0.49882875488068035,2.266974575635609,0.9354838709677419
UGC07559,0.6441875356488572,0.5322157406984505,1.1450758908116203,0.42857142857142855
UGC07577,0.24887997942331502,0.25242124037096947,0.41401419994439287,0.0
UGC07603,2.270063242431545,1.5360766048727819,4.6071974731471235,0.75
UGC07608,4.346824149128311,1.5067463024684564,5.43131574984058,0.875
UGC07690,0.642519272609486,0.3728429829987196,1.1224613055173691,0.14285714285714285
UGC07866,0.9178673697606479,0.2412047909777888,1.3165054155960116,0.42857142857142855
UGC08286,2.7390325287421855,0.8006205889356233,3.9191994482237686,0.9411764705882353
UGC08490,3.145385947142322,1.538578259509271,5.357096859329638,0.9
UGC08550,2.7707273924381983,1.2210399910594236,4.300124681705517,1.0
UGC08699,0.452697244592969,0.6175327614748175,2.31080684963021,0.12195121951219512
UGC08837,0.4888223377179346,0.5685024472666906,0.9314946465574377,0.0
UGC09037,0.3518303333400898,0.4047434126176874,0.7937612242592675,0.0
UGC09133,0.7009433417460035,0.8817524079240983,2.742755846492097,0.27941176470588236
UGC09992,0.5114313864297539,0.1379125521574212,0.741806488102881,0.0
UGC10310,1.3745340232044807,0.14683379183546488,1.5840890387858346,1.0
UGC11455,0.2995331616041558,0.30984632408981067,0.7570053870995048,0.0
UGC11557,0.47600940424834914,0.27714318762066786,0.9669617873838214,0.0
UGC11820,2.2378691077829105,0.8556351819385886,3.6288845461785897,0.8
UGC12506,1.5841136804107656,1.4496111033397132,9.085230726189465,0.7419354838709677
UGC12632,2.4037822966384668,0.35549729089306503,2.95222516306771,1.0
UGC12732,2.800900249758368,0.5893154085863987,3.501389172334498,1.0
UGCA281,1.0007698338582194,0.46847477332100773,1.8297528297528303,0.42857142857142855
UGCA442,3.7687781476205706,1.8590010314163947,7.115609910742909,1.0
UGCA444,3.7361663365331186,2.24015945933018,13.118545385129325,1.0
